transaction_id,datetime,store_id,product_id,quantity,unit_price,payment_type
T2-1,2025-08-23T20:10:36,S004,P0151,4,102.81,online
T2-2,2025-08-23T13:47:04,S010,P0165,4,70.67,card
T2-3,2025-08-23T16:55:52,S005,P0112,1,162.45,cash
T2-4,2025-08-23T19:30:09,S010,P0027,1,160.29,cash
T2-5,2025-08-23T12:49:56,S008,P0101,1,104.67,cash
T2-6,2025-08-23T12:18:54,S008,P0182,3,43.31,online
T2-7,2025-08-23T15:36:00,S007,P0122,2,10.11,online
T2-8,2025-08-23T11:26:31,S006,P0069,3,156.6,cash
T2-9,2025-08-23T10:42:38,S006,P0108,2,107.83,card
T2-10,2025-08-23T19:40:44,S003,P0013,1,188.35,card
T2-11,2025-08-23T17:47:50,S006,P0109,5,141.03,cash
T2-12,2025-08-23T19:11:17,S003,P0152,2,8.68,card
T2-13,2025-08-23T17:40:52,S008,P0049,5,59.17,online
T2-14,2025-08-23T16:48:10,S003,P0062,1,6.3,card
T2-15,2025-08-23T13:02:46,S007,P0030,5,103.32,card
T2-16,2025-08-23T16:28:07,S007,P0184,4,38.74,online
T2-17,2025-08-23T19:20:17,S010,P0160,2,187.99,card
T2-18,2025-08-23T10:09:41,S006,P0063,5,157.61,cash
T2-19,2025-08-23T15:02:14,S004,P0016,2,62.01,card
T2-20,2025-08-23T18:54:21,S002,P0199,1,155.18,card
T2-21,2025-08-23T18:30:01,S004,P0049,2,116.15,cash
T2-22,2025-08-23T14:47:06,S008,P0124,4,29.67,cash
T2-23,2025-08-23T10:58:27,S010,P0077,3,177.22,online
T2-24,2025-08-23T11:50:56,S003,P0016,3,105.41,cash
T2-25,2025-08-23T17:20:01,S002,P0146,1,33.93,online
T2-26,2025-08-23T18:26:49,S006,P0075,5,31.67,cash
T2-27,2025-08-23T20:11:25,S004,P0154,3,197.44,cash
T2-28,2025-08-23T13:03:07,S008,P0025,2,157.46,online
T2-29,2025-08-23T19:56:43,S006,P0064,1,186.77,online
T2-30,2025-08-23T11:59:37,S008,P0019,5,151.77,cash
T2-31,2025-08-23T12:50:43,S003,P0055,5,156.83,online
T2-32,2025-08-23T15:07:16,S002,P0180,5,123.37,cash
T2-33,2025-08-23T10:24:46,S003,P0193,1,46.05,cash
T2-34,2025-08-23T12:56:36,S001,P0074,2,176.95,online
T2-35,2025-08-23T19:09:14,S006,P0014,1,118.83,online
T2-36,2025-08-23T20:36:28,S004,P0124,2,43.8,online
T2-37,2025-08-23T11:20:59,S009,P0036,2,198.75,card
T2-38,2025-08-23T11:46:31,S009,P0163,2,153.11,card
T2-39,2025-08-23T16:35:52,S003,P0184,5,191.31,online
T2-40,2025-08-23T17:39:43,S003,P0182,4,192.8,cash
T2-41,2025-08-23T12:55:39,S003,P0093,3,156.36,online
T2-42,2025-08-23T16:42:00,S005,P0051,2,75.19,cash
T2-43,2025-08-23T09:21:12,S002,P0049,1,125.5,online
T2-44,2025-08-23T12:41:13,S003,P0026,1,33.21,cash
T2-45,2025-08-23T15:34:20,S005,P0166,2,176.2,online
T2-46,2025-08-23T16:57:31,S003,P0037,2,98.55,online
T2-47,2025-08-23T12:50:50,S003,P0192,5,29.21,cash
T2-48,2025-08-23T18:56:12,S009,P0010,1,4.12,online
T2-49,2025-08-23T10:53:08,S001,P0185,5,171.92,cash
